shot_context,contrast,observed_difference_pp,ci_95_lower_pp,ci_95_upper_pp,bootstrap_probability_above_zero,ci_excludes_zero
oz_entry_5s_proxy,0_to_1,0.6353876432563978,-0.3354505057445307,1.6342285395489753,0.8962,False
oz_entry_5s_proxy,1_to_2,0.775111986678862,-0.7822764473552799,2.4268517517076873,0.8277,False
oz_entry_5s_proxy,2_to_3plus,-2.10221793635487,-4.447859077632124,0.923834209760628,0.0727,False
oz_entry_5s_proxy,incremental_1_to_2_vs_0_to_1,0.13972434342246418,-2.006446116363025,2.3436315069473808,0.5521,False
oz_faceoff_5s,0_to_1,0.3809687491048666,-1.3854870017134469,2.040531215101236,0.6732,False
oz_faceoff_5s,1_to_2,0.3582451499118167,-1.1961932294143005,1.9666762512116058,0.6658,False
oz_faceoff_5s,2_to_3plus,2.131296733569461,-1.5877670957571013,6.447071833188679,0.8512,False
oz_faceoff_5s,incremental_1_to_2_vs_0_to_1,-0.02272359919304988,-2.730685196162929,2.648334995623549,0.501,False
settled_offensive_zone_proxy,0_to_1,0.6925257474035041,0.16570132383878425,1.2288407183250487,0.9944,True
settled_offensive_zone_proxy,1_to_2,0.8122360599873933,0.016237804946416065,1.6293636292866869,0.9774,True
settled_offensive_zone_proxy,2_to_3plus,-0.8211956542262536,-2.4109948325850397,0.9334464840888835,0.1568,False
settled_offensive_zone_proxy,incremental_1_to_2_vs_0_to_1,0.11971031258388928,-1.0406916293849402,1.2710681606018088,0.5873,False
